Paper_Name,Importance,Hemisphere,Anatomical_Region,Metric_Class,Metric_Name,Feature
Left Basal - FIRSTORDER: Skewness,0.0663875938773446,Left,Basal,firstorder,Skewness,L_Hippo_Label7003_firstorder_Skewness
Left Basal - FIRSTORDER: Kurtosis,0.0476548559440178,Left,Basal,firstorder,Kurtosis,L_Hippo_Label7003_firstorder_Kurtosis
Right Amygdala_Lateral - FIRSTORDER: Maximum,0.0409402499119641,Right,Amygdala_Lateral,firstorder,Maximum,R_Hippo_Label241_firstorder_Maximum
Left CA3_Head - SHAPE: SurfaceVolumeRatio,0.0373056733982984,Left,CA3_Head,shape,SurfaceVolumeRatio,L_Hippo_Label236_shape_SurfaceVolumeRatio
Right Accessory_Basal - GLDM: SmallDependenceHighGrayLevelEmphasis,0.0336413575473387,Right,Accessory_Basal,gldm,SmallDependenceHighGrayLevelEmphasis,R_Hippo_Label7005_gldm_SmallDependenceHighGrayLevelEmphasis
Right Accessory_Basal - FIRSTORDER: InterquartileRange,0.0297762230459124,Right,Accessory_Basal,firstorder,InterquartileRange,R_Hippo_Label7005_firstorder_InterquartileRange
Left Amygdala_Basal - GLCM: Imc2,0.0286634934807263,Left,Amygdala_Basal,glcm,Imc2,L_Hippo_Label242_glcm_Imc2
Left HATA - FIRSTORDER: RootMeanSquared,0.0282372641840192,Left,HATA,firstorder,RootMeanSquared,L_Hippo_Label211_firstorder_RootMeanSquared
Right Central - GLDM: DependenceNonUniformity,0.0276818710318234,Right,Central,gldm,DependenceNonUniformity,R_Hippo_Label7006_gldm_DependenceNonUniformity
Left HATA - GLCM: Correlation,0.0268841511339226,Left,HATA,glcm,Correlation,L_Hippo_Label239_glcm_Correlation
Left Hippocampal_tail - SHAPE: Maximum2DDiameterSlice,0.0268300183168574,Left,Hippocampal_tail,shape,Maximum2DDiameterSlice,L_Hippo_Label226_shape_Maximum2DDiameterSlice
Left Subiculum_Head - NGTDM: Contrast,0.0217439062543843,Left,Subiculum_Head,ngtdm,Contrast,L_Hippo_Label234_ngtdm_Contrast
Right Medial - FIRSTORDER: Skewness,0.0213113382329183,Right,Medial,firstorder,Skewness,R_Hippo_Label7008_firstorder_Skewness
Left Hippocampal_tail - SHAPE: SurfaceVolumeRatio,0.020761408228599,Left,Hippocampal_tail,shape,SurfaceVolumeRatio,L_Hippo_Label226_shape_SurfaceVolumeRatio
Left Fimbria - FIRSTORDER: Maximum,0.0175399418371094,Left,Fimbria,firstorder,Maximum,L_Hippo_Label240_firstorder_Maximum
Right Parasubiculum - FIRSTORDER: RobustMeanAbsoluteDeviation,0.0163498323586807,Right,Parasubiculum,firstorder,RobustMeanAbsoluteDeviation,R_Hippo_Label203_firstorder_RobustMeanAbsoluteDeviation
Left Presubiculum_Head - NGTDM: Contrast,0.0153298396777536,Left,Presubiculum_Head,ngtdm,Contrast,L_Hippo_Label233_ngtdm_Contrast
Left Medial - FIRSTORDER: Skewness,0.0143828869852946,Left,Medial,firstorder,Skewness,L_Hippo_Label7008_firstorder_Skewness
Right CA3_Head - SHAPE: Maximum2DDiameterColumn,0.0133395483261325,Right,CA3_Head,shape,Maximum2DDiameterColumn,R_Hippo_Label236_shape_Maximum2DDiameterColumn
Left Medial - GLCM: ClusterShade,0.0129733455129809,Left,Medial,glcm,ClusterShade,L_Hippo_Label7008_glcm_ClusterShade
Left Medial - NGTDM: Coarseness,0.0127686264755276,Left,Medial,ngtdm,Coarseness,L_Hippo_Label7008_ngtdm_Coarseness
Right Medial - GLCM: ClusterShade,0.0123078186088612,Right,Medial,glcm,ClusterShade,R_Hippo_Label7008_glcm_ClusterShade
Right CA4_Head - GLDM: SmallDependenceEmphasis,0.012058395181142,Right,CA4_Head,gldm,SmallDependenceEmphasis,R_Hippo_Label237_gldm_SmallDependenceEmphasis
Left CA4_Head - GLDM: SmallDependenceEmphasis,0.0110233613683532,Left,CA4_Head,gldm,SmallDependenceEmphasis,L_Hippo_Label237_gldm_SmallDependenceEmphasis
Left Amygdala_Basal - GLSZM: GrayLevelNonUniformity,0.0108469073698942,Left,Amygdala_Basal,glszm,GrayLevelNonUniformity,L_Hippo_Label242_glszm_GrayLevelNonUniformity
Left Hippocampal_fissure - GLCM: JointEnergy,0.0106618169422444,Left,Hippocampal_fissure,glcm,JointEnergy,L_Hippo_Label215_glcm_JointEnergy
Left HATA - FIRSTORDER: Maximum,0.0106353788801667,Left,HATA,firstorder,Maximum,L_Hippo_Label239_firstorder_Maximum
Right Presubiculum_Head - GLRLM: LongRunHighGrayLevelEmphasis,0.0100592366345013,Right,Presubiculum_Head,glrlm,LongRunHighGrayLevelEmphasis,R_Hippo_Label233_glrlm_LongRunHighGrayLevelEmphasis
Right Amygdala_Medial - FIRSTORDER: Skewness,0.0099208648437509,Right,Amygdala_Medial,firstorder,Skewness,R_Hippo_Label246_firstorder_Skewness
Left Accessory_Basal - FIRSTORDER: RobustMeanAbsoluteDeviation,0.0098327289792095,Left,Accessory_Basal,firstorder,RobustMeanAbsoluteDeviation,L_Hippo_Label7005_firstorder_RobustMeanAbsoluteDeviation
Right Fimbria - GLCM: ClusterShade,0.0096545219575028,Right,Fimbria,glcm,ClusterShade,R_Hippo_Label240_glcm_ClusterShade
Left Fimbria - GLSZM: LargeAreaEmphasis,0.0094985052296343,Left,Fimbria,glszm,LargeAreaEmphasis,L_Hippo_Label212_glszm_LargeAreaEmphasis
Right Hippocampal_tail - SHAPE: SurfaceVolumeRatio,0.0094481010653982,Right,Hippocampal_tail,shape,SurfaceVolumeRatio,R_Hippo_Label226_shape_SurfaceVolumeRatio
Left CA4_Head - SHAPE: Sphericity,0.0094271010496917,Left,CA4_Head,shape,Sphericity,L_Hippo_Label237_shape_Sphericity
Left Central - SHAPE: Sphericity,0.0092856818372814,Left,Central,shape,Sphericity,L_Hippo_Label7006_shape_Sphericity
Left GC_ML_DG_Head - SHAPE: Sphericity,0.009251271412809,Left,GC_ML_DG_Head,shape,Sphericity,L_Hippo_Label238_shape_Sphericity
Right Subiculum_Head - SHAPE: Maximum2DDiameterColumn,0.008745441417617,Right,Subiculum_Head,shape,Maximum2DDiameterColumn,R_Hippo_Label234_shape_Maximum2DDiameterColumn
Right CA3_Head - FIRSTORDER: Variance,0.0085946885332355,Right,CA3_Head,firstorder,Variance,R_Hippo_Label236_firstorder_Variance
Left Amygdala_Central - FIRSTORDER: Skewness,0.0083476914059432,Left,Amygdala_Central,firstorder,Skewness,L_Hippo_Label245_firstorder_Skewness
Right Fimbria - SHAPE: Flatness,0.0082383140771985,Right,Fimbria,shape,Flatness,R_Hippo_Label212_shape_Flatness
Right Central - FIRSTORDER: 10Percentile,0.008072031969326,Right,Central,firstorder,10Percentile,R_Hippo_Label7006_firstorder_10Percentile
Left Basal - GLCM: Imc1,0.0080409454588417,Left,Basal,glcm,Imc1,L_Hippo_Label7003_glcm_Imc1
Left Subiculum_Head - FIRSTORDER: Maximum,0.0074685028041154,Left,Subiculum_Head,firstorder,Maximum,L_Hippo_Label234_firstorder_Maximum
Right Parasubiculum - GLRLM: RunVariance,0.0070962843068614,Right,Parasubiculum,glrlm,RunVariance,R_Hippo_Label203_glrlm_RunVariance
Right Hippocampal_fissure - NGTDM: Busyness,0.0067710394638258,Right,Hippocampal_fissure,ngtdm,Busyness,R_Hippo_Label215_ngtdm_Busyness
Left CA1_Head - GLSZM: SmallAreaLowGrayLevelEmphasis,0.0066867798685245,Left,CA1_Head,glszm,SmallAreaLowGrayLevelEmphasis,L_Hippo_Label235_glszm_SmallAreaLowGrayLevelEmphasis
